,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,
0,0,140,800,0.999994641,0.93137666,0.974264706,0.932825372,,
1,1,140,800,0.999827532,0.926978013,0.910441176,0.927843444,,
2,2,140,800,0.999967273,0.958813593,0.967532468,0.93959819,,
3,3,140,800,0.99994564,0.939376218,0.926544944,0.946566377,,
4,4,140,800,0.999980022,0.940123001,0.933686402,0.928234183,0.942493939,0.935013513
5,0,130,800,0.999994641,0.93331004,0.973431373,0.935169809,,
6,1,130,800,0.999813976,0.927245493,0.909215686,0.940705285,,
7,2,130,800,0.999973362,0.953795707,0.966810967,0.945166227,,
8,3,130,800,0.999963249,0.935331384,0.929330524,0.947608349,,
9,4,130,800,0.999979253,0.934907749,0.932283179,0.930122757,0.942214346,0.939754485
10,0,120,800,0.999996937,0.933892383,0.972843137,0.933574289,,
11,1,120,800,0.999893808,0.924410207,0.91,0.933444043,,
12,2,120,800,0.999974123,0.954391892,0.966233766,0.938621341,,
13,3,120,800,0.999960952,0.938304094,0.928838951,0.941519325,,
14,4,120,800,0.999981558,0.935891759,0.936311787,0.924326788,0.942845528,0.934297157
15,0,100,800,0.999998469,0.933379921,0.973284314,0.933704536,,
16,1,100,800,0.999952553,0.926122078,0.914215686,0.932141578,,
17,2,100,800,0.999984778,0.957372814,0.964983165,0.940184299,,
18,3,100,800,0.999972437,0.934502924,0.926217228,0.94301716,,
19,4,100,800,0.999983864,0.932201722,0.931242079,0.923968611,0.941988494,0.934603237
20,0,90,800,1,0.928255299,0.973676471,0.930285565,,
21,1,90,800,0.999978912,0.932541593,0.922794118,0.916642245,,
22,2,90,800,0.999982495,0.953447933,0.963924964,0.922438214,,
23,3,90,800,0.999977031,0.93708577,0.926357678,0.926085116,,
24,4,90,800,0.999983864,0.934317343,0.931332609,0.9109114,0.943617168,0.921272508
25,0,80,800,0.999998469,0.928395062,0.971421569,0.924261665,,
26,1,80,800,0.999962343,0.935430375,0.920833333,0.918009834,,
27,2,80,800,0.999977167,0.958167727,0.963492063,0.925466445,,
28,3,80,800,0.999970906,0.935623782,0.930617978,0.915176972,,
29,4,80,800,0.9999854,0.92595326,0.931151548,0.912572043,0.943503298,0.919097392
30,0,70,800,0.999996937,0.932867459,0.972156863,0.929699456,,
31,1,70,800,0.999965356,0.937142246,0.91995098,0.918661066,,
32,2,70,800,0.999985539,0.955782989,0.967532468,0.926671225,,
33,3,70,800,0.999960952,0.938157895,0.929190075,0.934355768,,
34,4,70,800,0.999986937,0.932939729,0.951701974,0.920289147,0.948106472,0.925935333
35,0,60,800,0.999986984,0.926624738,0.973480392,0.934648823,,
36,1,60,800,0.999940502,0.94741347,0.935539216,0.931034483,,
37,2,60,800,0.999961184,0.955385533,0.966666667,0.920842695,,
38,3,60,800,0.999938749,0.935916179,0.934222846,0.935365179,,
39,4,60,800,0.999936223,0.938154982,0.955413724,0.925466445,0.953064569,0.929471525
40,0,50,800,0.999960187,0.929280224,0.974117647,0.934030152,,
41,1,50,800,0.999978912,0.932595089,0.921176471,0.925596692,,
42,2,50,800,0.99995814,0.95459062,0.964983165,0.921428804,,
43,3,50,800,0.99994564,0.936793372,0.936001873,0.927713197,,
44,4,50,800,0.999939296,0.939680197,0.954055767,0.928006252,0.950066984,0.927355019
45,0,40,800,0.999964781,0.930072211,0.97504902,0.938328286,,
46,1,40,800,0.999938996,0.94821591,0.937598039,0.940542477,,
47,2,40,800,0.999971839,0.968054452,0.971284271,0.942072873,,
48,3,40,800,0.99992267,0.936842105,0.93536985,0.941779818,,
49,4,40,800,0.999935454,0.9400246,0.959261271,0.928396991,0.95571249,0.938224089
50,0,30,800,0.999899701,0.927929187,0.974803922,0.937677054,,
51,1,30,800,0.999874227,0.948269406,0.936666667,0.94562209,,
52,2,30,800,0.999939112,0.969197138,0.968253968,0.9466315,,
53,3,30,800,0.999789449,0.937621832,0.931273408,0.945915144,,
54,4,30,800,0.999848625,0.938351784,0.958174905,0.93279281,0.953834574,0.94172772
55,0,25,800,0.999888982,0.929513161,0.974558824,0.940509915,,
56,1,25,800,0.999868955,0.94794843,0.93622549,0.948487513,,
57,2,25,800,0.999933023,0.971134738,0.966955267,0.947347856,,
58,3,25,800,0.999705229,0.937426901,0.930102996,0.95506496,,
59,4,25,800,0.999834025,0.938942189,0.957767518,0.937188629,0.953122019,0.945719775
60,0,20,800,0.999607227,0.929652923,0.973872549,0.944319625,,
61,1,20,800,0.999679165,0.949232333,0.932843137,0.949268992,,
62,2,20,800,0.999687949,0.970786963,0.965800866,0.952101853,,
63,3,20,800,0.999526069,0.937426901,0.931694757,0.95907004,,
64,4,20,800,0.999630398,0.939680197,0.957993844,0.943342776,0.952441031,0.949620657
65,0,15,800,0.999471709,0.929140461,0.972990196,0.948096773,,
66,1,15,800,0.999419333,0.950302252,0.932107843,0.950962196,,
67,2,15,800,0.999143002,0.964725755,0.951659452,0.927810882,,
68,3,15,800,0.999275705,0.934551657,0.930383895,0.965777734,,
69,4,15,800,0.999149378,0.938204182,0.958265435,0.944840611,0.949081364,0.947497639
70,0,10,800,0.999738151,0.919916143,0.96872549,0.933899906,,
71,1,10,800,0.999835817,0.940191516,0.928578431,0.935365179,,
72,2,10,800,0.999202367,0.964676073,0.954401154,0.925108267,,
73,3,10,800,0.999444911,0.932309942,0.930664794,0.968773404,,
74,4,10,800,0.999505917,0.93603936,0.958355966,0.942040311,0.948145167,0.941037413
