optimizer,n_dense,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std
adam,200,0.9640303358613218,0.0025740021207952,0.9640303358613218,0.0025740021207952,0.906628242074928,0.0126604510873134,0.8949999999999999,0.0119615430608552
adam,800,0.9659804983748648,0.0076541491032078,0.9659804983748648,0.0076541491032078,0.9077809798270896,0.0118821487769961,0.8922727272727272,0.0099844921074949
adam,600,0.9640303358613218,0.0090126259341648,0.9640303358613218,0.0090126259341648,0.906628242074928,0.0136088979286658,0.8918181818181818,0.0155478467058973
adam,1000,0.968725171542073,0.0058433495327354,0.968725171542073,0.0058433495327354,0.9095100864553316,0.0131432325659842,0.889090909090909,0.0148511902297314
rmsprop,200,0.9620079451065364,0.0025202378219382,0.9620079451065364,0.0025202378219382,0.899135446685879,0.0132062700142819,0.884090909090909,0.0137307340609028
adam,400,0.9621524015890212,0.0068825593352526,0.9621524015890212,0.0068825593352526,0.906628242074928,0.0121585147606507,0.8813636363636365,0.0133878877045664
rmsprop,800,0.9509570241964608,0.0211127115119103,0.9509570241964608,0.0211127115119103,0.885878962536023,0.0336448388995879,0.8604545454545456,0.0355955819526167
rmsprop,600,0.9412784398699892,0.0248579554905446,0.9412784398699892,0.0248579554905446,0.8847262247838616,0.0171705695789812,0.8531818181818182,0.0302622832106893
rmsprop,400,0.94503430841459,0.0283414175794667,0.94503430841459,0.0283414175794667,0.8904899135446686,0.0280887445095359,0.8518181818181818,0.0424702131883566
rmsprop,1000,0.9321054532322136,0.047736939132313,0.9321054532322136,0.047736939132313,0.8818443804034584,0.0411609707696994,0.8468181818181819,0.0424458819270136
